,,,,
Geojson_TA12,Geojson_NAME,Data_name,MfE_preferred_name,Council type(regional authority/Unitary authority/Territorial Authority)
1,Far North District,Far North District,,
2,Whangarei District,Whangarei District,,
3,Kaipara District,Kaipara District,,
11,Thames-Coromandel District,Thames-Coromandel District,,
12,Hauraki District,Hauraki District,,
13,Waikato District,Waikato District,,
15,Matamata-Piako District,Matamata-Piako District,,
16,Hamilton City,Hamilton City,,
17,Waipa District,Waipa District,,
18,Otorohanga District,Otorohanga District,,
19,South Waikato District,South Waikato District,,
20,Waitomo District,Waitomo District,,
21,Taupo District,Taupo District,,
22,Western Bay of Plenty District,Western Bay Of Plenty District,,
23,Tauranga City,Tauranga City,,
24,Rotorua District,Rotorua District,,
25,Whakatane District,Whakatane District,,
34,Stratford District,Stratford District,,
35,South Taranaki District,South Taranaki District,,
36,Ruapehu District,Ruapehu District,,
37,Wanganui District,Wanganui District,,
38,Rangitikei District,Rangitikei District,,
39,Manawatu District,Manawatu District,,
40,Palmerston North City,Palmerston North City,,
41,Tararua District,Tararua District,,
33,New Plymouth District,New Plymouth District,,
42,Horowhenua District,Horowhenua District,,
43,Kapiti Coast District,Kapiti Coast District,,
44,Porirua City,Porirua City,,
26,Kawerau District,Kawerau District,,
27,Opotiki District,Opotiki District,,
28,Gisborne District,Gisborne District,,
29,Wairoa District,Wairoa District,,
30,Hastings District,Hastings District,,
31,Napier City,Napier City,,
32,Central Hawke's Bay District,Central Hawkes Bay District,,
45,Upper Hutt City,Upper Hutt City,,
46,Lower Hutt City,Hutt City,,
47,Wellington City,Wellington City,,
48,Masterton District,Masterton District,,
49,Carterton District,Carterton District,,
50,South Wairarapa District,South Wairarapa District,,
51,Tasman District,Tasman District,,
52,Nelson City,Nelson City,,
53,Marlborough District,Marlborough District,,
54,Kaikoura District,Kaikoura District,,
55,Buller District,Buller District,,
56,Grey District,Grey District,,
57,Westland District,Westland District,,
58,Hurunui District,Hurunui District,,
59,Waimakariri District,Waimakariri District,,
62,Selwyn District,Selwyn District,,
63,Ashburton District,Ashburton District,,
64,Timaru District,Timaru District,,
65,Mackenzie District,Mackenzie District,,
66,Waimate District,Waimate District,,
68,Waitaki District,Waitaki District,,
69,Central Otago District,Central Otago District,,
70,Queenstown-Lakes District,Queenstown-Lakes District,,
71,Dunedin City,Dunedin City,,
72,Clutha District,Clutha District,,
73,Southland District,Southland District,,
74,Gore District,Gore District,,
75,Invercargill City,Invercargill City,,
60,Christchurch City,Christchurch City,,
76,Auckland,Auckland,,
